City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Tura,IN,79.95,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
10,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
15,Butaritari,KI,82.85,few clouds,3.0707,172.7902,Isles Sunset Lodge
17,Tabuk,PH,87.64,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
20,Jamestown,US,72.99,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
22,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
24,San Juan,AR,72.73,few clouds,-31.5375,-68.5364,Hotel Provincial
28,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
34,San Patricio,US,87.55,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
37,Rikitea,PF,75.38,overcast clouds,-23.1203,-134.9692,People ThankYou
39,Shaunavon,CA,80.38,clear sky,49.6501,-108.4181,Bear's Den Lodge
40,Nukus,UZ,73.38,clear sky,42.4531,59.6103,Hotel Jipek Joli
41,Airai,TL,73.0,broken clouds,-8.9266,125.4092,Juvinal Martin
43,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
45,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
48,Santa Rosalia,MX,82.02,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
49,Gunjur,GM,78.87,scattered clouds,13.2019,-16.7339,Kuba Lodge
51,Yellowknife,CA,70.32,scattered clouds,62.456,-114.3525,The Explorer Hotel
52,Bam,IR,92.17,clear sky,29.106,58.357,Bam Tourist Hotel
55,Puerto Ayora,EC,72.93,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Havelock,US,75.43,broken clouds,34.8791,-76.9013,Sherwood Motel
58,Laguna,US,90.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
60,San Pedro,PH,87.31,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
62,Hermiston,US,93.96,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
69,Idanre,NG,71.85,overcast clouds,7.1127,5.1159,Rock valley hotel
71,Arlit,NE,88.93,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
72,Kalmunai,LK,82.65,overcast clouds,7.4167,81.8167,VS Villa
73,The Pas,CA,75.22,clear sky,53.8251,-101.2541,Wescana Inn
75,Saint Anthony,US,89.38,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
79,Huanren,CN,77.92,overcast clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
88,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
90,Jinzhou,CN,71.85,overcast clouds,41.1078,121.1417,Sheraton Jinzhou Hotel
91,Balkanabat,TM,79.16,clear sky,39.5108,54.3671,Nebitchi Hotel
93,Shingu,JP,77.99,few clouds,33.7333,135.9833,Shingu UI Hotel
94,Hithadhoo,MV,82.45,overcast clouds,-0.6,73.0833,Scoop Guest House
96,Victoria,HK,90.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
97,Katherine,AU,82.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
99,Carutapera,BR,75.47,scattered clouds,-1.195,-46.02,Lidera
101,Labuhan,ID,83.35,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
102,Guangyuan,CN,73.2,moderate rain,32.442,105.823,Guangyuan Poetry Hotel
103,Fortuna,US,70.48,light rain,40.5982,-124.1573,Super 8 by Wyndham Fortuna
107,Mayumba,GA,75.97,overcast clouds,-3.432,10.6554,LIKWALE LODGE
110,Saint-Philippe,RE,71.15,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
111,Mogadishu,SO,77.92,light rain,2.0371,45.3438,Hotel Juba
113,Hamilton,US,83.59,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
115,Torrevieja,ES,74.8,scattered clouds,37.9787,-0.6822,Hotel Fontana Plaza
116,Atuona,PF,79.05,light rain,-9.8,-139.0333,Villa Enata
117,Hilo,US,78.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
118,Kushima,JP,80.11,overcast clouds,31.4583,131.2333,Hanaoka
119,Emerald,AU,73.54,overcast clouds,-23.5333,148.1667,The Irish Village
123,Umm Lajj,SA,85.06,clear sky,25.0213,37.2685,Moon light Furnished Units
125,Poum,NC,75.02,clear sky,-20.2333,164.0167,Gîte kajeon
126,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
129,Meulaboh,ID,79.5,overcast clouds,4.1363,96.1285,Kost Pria
133,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
136,Jalalabad,AF,85.91,clear sky,34.4265,70.4515,انصاف چهاردهي هوټل
139,Mandera,KE,74.8,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
140,Tutoia,BR,77.85,few clouds,-2.7619,-42.2744,Pousada Guará's
142,Sur,OM,89.08,clear sky,22.5667,59.5289,Sur Plaza Hotel
143,Faanui,PF,79.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
148,Vieques,PR,82.44,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
151,Kirakira,SB,85.41,broken clouds,-10.4544,161.9205,SanBiz Lodge
153,Kavaratti,IN,83.5,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
154,Winslow,US,98.78,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
156,Oyama,JP,76.89,light rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
157,Basoko,CD,72.46,overcast clouds,1.2391,23.616,Jackyna Hotel
158,Bull Savanna,JM,76.08,overcast clouds,17.8868,-77.5902,Big Red's
