,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Baruun-Urt,MN,46.6806,113.2792,60.55,75,100,13.73,overcast clouds
1,Bluff,NZ,-46.6,168.3333,49.8,89,97,4.85,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,18.41,clear sky
3,Tura,IN,25.5198,90.2201,79.95,83,100,5.48,moderate rain
4,Fort Saint James,CA,54.4333,-124.25,60.04,70,67,2.15,broken clouds
5,Hermanus,ZA,-34.4187,19.2345,53.91,84,1,4.76,clear sky
6,Mataura,NZ,-46.1927,168.8643,49.48,91,97,3.18,overcast clouds
7,Saldanha,ZA,-33.0117,17.9442,42.85,86,82,6.04,broken clouds
8,Wanaka,NZ,-44.7,169.15,54.63,86,98,2.71,overcast clouds
9,Esperance,AU,-33.8667,121.9,58.84,67,37,27.42,scattered clouds
10,Ahuimanu,US,21.4447,-157.8378,83.91,58,40,11.5,scattered clouds
11,Busselton,AU,-33.65,115.3333,53.1,65,100,23.17,overcast clouds
12,Castro,BR,-24.7911,-50.0119,46.35,94,0,4.63,clear sky
13,Qaanaaq,GL,77.484,-69.3632,32.36,76,73,2.8,broken clouds
14,Moose Factory,CA,51.2585,-80.6094,53.6,50,90,6.91,overcast clouds
15,Butaritari,KI,3.0707,172.7902,82.85,74,22,8.32,few clouds
16,Marovoay,MG,-16.1,46.6333,73.54,83,100,2.84,overcast clouds
17,Tabuk,PH,17.4189,121.4443,87.64,60,20,2.77,few clouds
18,Saint George,US,37.1041,-113.5841,104.59,6,1,21.85,clear sky
19,Impfondo,CG,1.6381,18.0667,69.04,98,88,2.8,overcast clouds
20,Jamestown,US,42.097,-79.2353,72.99,78,90,3.78,overcast clouds
21,Tasiilaq,GL,65.6145,-37.6368,37.56,85,100,2.86,overcast clouds
22,Makakilo City,US,21.3469,-158.0858,82.72,54,1,13.8,clear sky
23,Barrow,US,71.2906,-156.7887,39.22,81,20,19.57,few clouds
24,San Juan,AR,-31.5375,-68.5364,72.73,41,13,10.13,few clouds
25,Barcelos,PT,41.5388,-8.6151,69.85,92,15,2.44,few clouds
26,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,100,90,9.22,fog
27,Ushuaia,AR,-54.8,-68.3,37.06,81,40,17.27,scattered clouds
28,Vaini,TO,-21.2,-175.2,80.76,74,20,9.22,few clouds
29,Hobart,AU,-42.8794,147.3294,54.91,93,75,5.75,broken clouds
30,Sitka,US,57.0531,-135.33,62.49,59,75,12.66,broken clouds
31,Kazachinskoye,RU,57.6953,93.2761,56.39,57,6,8.59,clear sky
32,Mar Del Plata,AR,-38.0023,-57.5575,62.1,84,0,5.99,clear sky
33,Albany,US,42.6001,-73.9662,68.72,78,80,1.99,broken clouds
34,San Patricio,US,28.017,-97.5169,87.55,72,5,8.79,clear sky
35,Kruisfontein,ZA,-34.0033,24.7314,50.88,79,90,9.13,overcast clouds
36,Port Alfred,ZA,-33.5906,26.891,61.32,85,88,13.56,overcast clouds
37,Rikitea,PF,-23.1203,-134.9692,75.38,74,100,13.65,overcast clouds
38,Salamiyah,SY,35.0113,37.0532,65.59,50,0,6.51,clear sky
39,Shaunavon,CA,49.6501,-108.4181,80.38,43,3,9.13,clear sky
40,Nukus,UZ,42.4531,59.6103,73.38,13,0,6.91,clear sky
41,Airai,TL,-8.9266,125.4092,73.0,47,66,3.4,broken clouds
42,Chuy,UY,-33.6971,-53.4616,55.33,90,0,5.84,clear sky
43,Avarua,CK,-21.2078,-159.775,77.05,65,40,11.5,scattered clouds
44,New Norfolk,AU,-42.7826,147.0587,54.57,89,99,1.21,overcast clouds
45,Kapaa,US,22.0752,-159.319,84.18,68,75,3.0,broken clouds
46,Ndele,CF,8.4109,20.6473,70.56,95,100,4.21,overcast clouds
47,Hambantota,LK,6.1241,81.1185,79.14,94,75,9.22,broken clouds
48,Santa Rosalia,MX,27.3167,-112.2833,82.02,63,8,7.47,clear sky
49,Gunjur,GM,13.2019,-16.7339,78.87,89,40,4.61,scattered clouds
50,Hovd,MN,48.0056,91.6419,55.17,34,39,4.21,scattered clouds
51,Yellowknife,CA,62.456,-114.3525,70.32,52,40,14.97,scattered clouds
52,Bam,IR,29.106,58.357,92.17,12,1,4.14,clear sky
53,Khatanga,RU,71.9667,102.5,37.4,96,100,16.62,moderate rain
54,Liverpool,GB,53.4106,-2.9779,67.95,77,6,2.3,clear sky
55,Puerto Ayora,EC,-0.7393,-90.3518,72.93,74,91,9.44,overcast clouds
56,Havelock,US,34.8791,-76.9013,75.43,92,75,9.22,broken clouds
57,Ribeira Grande,PT,38.5167,-28.7,68.61,82,14,2.62,few clouds
58,Laguna,US,38.421,-121.4238,90.45,42,1,5.01,clear sky
59,Luau,AO,-10.7073,22.2247,52.05,51,63,5.21,broken clouds
60,San Pedro,PH,14.35,121.0167,87.31,74,20,4.61,few clouds
